Date,LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pension Concession Card,Special Benefit,Widow Allowance,Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance
2021-06,10250,Ballina (A),23,65,7233,105,1193,14,574,1494,1782,2645,2030,2467,1693,164,130,398,0,11230,0,0,165,171,3703
2021-06,10300,Balranald (A),5,7,255,5,55,0,29,14,72,140,104,119,62,14,5,31,0,417,0,0,8,0,116
2021-06,10470,Bathurst Regional (A),43,74,4779,55,1164,29,566,820,1732,2684,2209,2566,1461,153,113,603,0,8650,0,0,238,401,3016
2021-06,10500,Bayside (A),39,28,16147,194,3977,47,1870,2548,3633,7124,5623,8517,5529,486,463,783,0,25191,71,0,384,1442,7744
2021-06,10550,Bega Valley (A),20,46,6157,35,932,16,461,1088,1594,2184,1660,1913,1490,204,126,366,0,9682,5,0,164,91,2365
2021-06,10600,Bellingen (A),5,11,2123,38,367,5,196,327,578,1007,794,977,806,58,59,173,0,3623,5,0,77,59,1193
2021-06,10650,Berrigan (A),0,6,1805,0,275,5,130,249,335,498,373,513,353,78,31,93,0,2629,0,0,21,24,609
2021-06,10750,Blacktown (C),115,392,27965,402,10530,249,5936,2523,10040,26389,21257,25267,14880,1244,1665,4404,0,56814,235,0,1750,3470,20327
2021-06,10800,Bland (A),5,0,742,0,117,5,68,130,187,330,262,288,164,18,14,77,0,1186,0,0,18,9,198
2021-06,10850,Blayney (A),5,8,860,6,201,5,94,168,238,413,318,366,234,27,15,77,0,1420,0,0,39,17,384
2021-06,10900,Blue Mountains (C),21,32,9670,115,1704,34,615,2028,2224,3429,2691,3608,2227,300,146,487,0,14551,5,0,195,370,3962
2021-06,10950,Bogan (A),0,12,322,0,41,0,21,46,82,174,126,178,107,5,12,47,0,526,0,0,10,0,135
2021-06,11150,Bourke (A),18,56,239,0,73,5,55,21,133,274,245,308,211,9,8,115,0,635,0,0,36,7,208
2021-06,11200,Brewarrina (A),12,35,126,0,45,.,33,9,108,159,147,209,163,5,5,63,0,396,0,0,21,5,162
2021-06,11250,Broken Hill (C),14,65,2981,20,721,9,377,180,1200,1214,1072,1234,1112,58,56,406,0,5702,5,0,194,26,1513
2021-06,11300,Burwood (A),5,0,3290,81,654,5,269,696,638,1196,891,1814,1094,99,63,96,0,4904,30,0,39,469,1724
2021-06,11350,Byron (A),14,9,3301,191,534,9,270,727,1400,2459,1934,3066,2484,145,156,375,0,6671,7,0,175,195,3571
2021-06,11400,Cabonne (A),0,5,1637,9,304,6,146,325,382,729,551,606,348,33,27,125,0,2520,0,0,31,34,556
2021-06,11450,Camden (A),20,45,6848,100,2953,78,1137,1024,1748,6838,5465,5414,2499,250,324,1157,0,12405,22,0,278,617,4547
2021-06,11500,Campbelltown (C) (NSW),73,232,15134,241,6557,133,3739,1259,6183,14729,12263,14107,8366,638,1037,2750,0,32682,71,0,1009,1694,10977
2021-06,11520,Canada Bay (A),9,9,6561,102,1286,9,412,2222,1087,2112,1638,2711,1601,171,90,214,0,9136,24,0,74,509,2383
2021-06,11570,Canterbury-Bankstown (A),25,61,36632,566,14150,248,9172,4017,10815,26712,21356,31131,17923,1379,3111,3085,0,69500,592,0,1205,5876,24391
2021-06,11600,Carrathool (A),5,5,202,0,48,0,24,31,72,176,132,131,81,10,0,47,0,398,5,0,11,12,97
2021-06,11650,Central Coast (C) (NSW),173,284,49796,430,10719,188,4766,6701,13056,20859,17021,20791,14716,1191,816,4275,0,81198,28,0,1759,1779,28977
2021-06,11700,Central Darling (A),5,20,198,0,57,.,42,16,144,147,132,197,170,0,7,56,0,517,0,0,33,0,128
2021-06,11720,Cessnock (C),28,108,7198,64,2451,45,1386,600,3106,4636,3911,4228,3098,256,224,1281,0,14958,0,0,450,207,5478
2021-06,11730,Clarence Valley (A),41,108,9879,65,2321,24,1351,1258,3306,3890,3079,3758,3302,332,222,776,0,17723,6,0,435,128,5365
2021-06,11750,Cobar (A),5,5,407,5,62,0,30,44,134,222,191,152,129,5,7,76,0,741,5,0,20,0,146
2021-06,11800,Coffs Harbour (C),60,175,11545,129,2459,43,1229,1572,3387,5662,4438,5426,4409,356,391,1058,0,20550,13,0,590,368,8570
2021-06,12000,Coolamon (A),5,5,658,0,132,8,60,99,154,260,187,232,164,11,13,52,0,1029,0,0,15,16,176
2021-06,12150,Coonamble (A),11,69,403,5,151,5,102,52,231,357,301,414,274,11,21,139,0,990,0,0,54,8,348
