LGA NAME,Earners,Median Age of Earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Wangaratta,15937,47,770285355,41643,48333,5.09,1.77,0.35,0.12,0.453,6.8,18.6,29.3,28.7,28.7,26.1,16.5
Warrnambool,19798,43,1008117732,43111,50920,4.61,1.78,0.38,0.17,0.441,6.6,18.8,29.4,27,28.5,26.6,17.9
Wellington,22665,46,1215152786,41724,53614,5.63,1.97,0.35,0.13,0.5,6.7,20.9,33.1,28.9,27.1,23,21
West Wimmera,2294,50,91355630,35140,39824,6.55,1.87,0.29,0.05,0.57,6,19.9,32.3,34.4,30,22.1,13.5
Whitehorse,92588,44,5615675254,45726,60652,6.16,2.03,0.33,0.13,0.495,7.6,21.4,33.3,28.5,23.1,22.2,26.2
Whittlesea,102180,39,5312046874,46482,51987,3.96,1.68,0.42,0.21,0.397,4.7,15.6,26,23.5,28,29.8,18.8
Wodonga,21530,42,1137590704,47461,52837,3.99,1.65,0.41,0.19,0.403,5.4,16.3,26.5,23,27.2,30.8,19
Wyndham,114369,37,6318077053,48741,55243,4.12,1.7,0.41,0.2,0.406,4.9,16.1,26.6,22.7,26.1,29.3,21.8
Yarra,56374,35,4421696235,59284,78435,4.78,1.85,0.39,0.2,0.482,9.4,23.4,34.6,19.8,20.4,25,34.8
Yarra Ranges,87808,44,4842982459,46383,55154,4.4,1.77,0.4,0.18,0.437,6.6,18.4,29.2,24.4,27,27.3,21.4
Yarriambiack,3453,51,132562662,33658,38391,8.62,1.98,0.23,0.05,0.551,5.9,18.8,30.8,36.3,28.6,23.2,12
