S/T code,S/T name,LGA code,LGA name,0-4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total Persons
2,Victoria,26490,Surf Coast (S),1992,2215,2052,1707,1240,1245,1542,1960,2342,2052,1948,1976,1967,1729,1164,737,514,559,28941
2,Victoria,26610,Swan Hill (RC),1361,1372,1372,1375,1223,1261,1244,1082,1218,1204,1353,1339,1224,1109,891,727,533,521,20409
2,Victoria,26670,Towong (S),258,341,417,355,178,195,186,241,346,391,516,479,463,468,334,265,150,179,5762
2,Victoria,26700,Wangaratta (RC),1515,1654,1775,1737,1194,1238,1374,1503,1720,1906,1869,2048,1858,1699,1334,1030,796,815,27065
2,Victoria,26730,Warrnambool (C),1990,2095,2283,2397,2431,2154,2046,1829,2062,2223,2260,2055,1926,1746,1369,1048,848,882,33644
2,Victoria,26810,Wellington (S),2401,2737,2591,2733,2057,2358,2463,2198,2478,2717,2952,3153,3039,2712,2004,1420,960,992,41965
2,Victoria,26890,West Wimmera (S),206,211,282,181,124,162,124,146,234,259,321,355,314,253,221,195,144,147,3879
2,Victoria,26980,Whitehorse (C),9326,9417,8775,10076,13855,12977,11327,10377,11232,11147,10310,9611,8331,7481,6403,5525,4413,4974,165557
2,Victoria,27070,Whittlesea (C),16021,14128,11912,11627,13200,16515,17868,15181,14230,12674,11361,10152,8755,7512,5308,4061,2783,2109,195397
2,Victoria,27170,Wodonga (RC),2878,2792,2608,2798,2924,2713,2530,2487,2636,2348,2334,2237,2005,1774,1256,948,644,647,38559
2,Victoria,27260,Wyndham (C),20423,16716,13499,12530,13599,18382,23020,18867,15875,13300,11603,9371,7485,5927,3820,2521,1528,1381,209847
2,Victoria,27350,Yarra (C),4407,3083,2524,2692,7707,14018,12986,8399,6338,5294,4745,4199,3536,3082,2081,1553,1241,1266,89151
2,Victoria,27450,Yarra Ranges (S),9414,9722,9739,10261,9912,8569,8715,9398,10883,10884,11042,10408,9480,8216,5617,3539,2427,2435,150661
2,Victoria,27630,Yarriambiack (S),291,414,397,404,250,209,218,280,354,447,542,586,486,492,475,304,285,325,6759
